chemical_name,cas_number,purity_grades_sold,certifications,primary_hub_id,primary_hub_label,secondary_hubs,sub_industry_tags_provisional,top_customers,customer_count_3yr,last_shipped_date,total_gp_3yr,total_revenue_3yr,transaction_count_3yr,hubspot_deal_count,hubspot_deal_total_usd,kelly_review_status,reviewer_group_status,source_systems,primary_pnum,all_pnums,pmast
"ZINC OXIDE, 99.9% pure, ACS Reagent, -200 mesh, ZnO",LOOKUP_NEEDED,99.9% | ACS Reagent | Reagent,ACS Reagent | Reagent,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"SpaceX | I-Spec. Co., Ltd | Chemsavers",9,2025-11-25,186884.88,234376.69,17,8,63174.82,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (8 deals), Invoice 2023, Invoice 2024, Invoice 2025",17439,17439|Temp. Prod.,17439
"THALLIUM (I) SULFATE, 99.9% pure, -20 mesh, (Thallous Sulfate), Tl₂SO₄",7446-18-6,99.9%,None observed,advanced-manufacturing,Advanced Manufacturing,Life Sciences & Pharma,PROVISIONAL: Advanced Manufacturing; Life Sciences & Pharma,"Brenntag Mid-South, Inc. | K.C. Jones Plating Co. | Surface Technology, Inc.",6,2025-09-05,170199.47,224311.66,29,10,160416.67,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (10 deals), Invoice 2023, Invoice 2024, Invoice 2025",18371,18371,18371
"SURROGATE WASTE, IHI Simulant for VSL (2024)",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2024-10-14,166562.81,240393.8,2,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,C3080,C3080,C3080
"ILMENITE SAND, -40 mesh, FeTiO₃",LOOKUP_NEEDED,Unknown,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,"Hickman, Williams & Company",1,2025-12-09,149654.4,429600.0,33,25,440000.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (25 deals), Invoice 2024, Invoice 2025",16647,16647,16647
"CITRIC ACID, ANHYDROUS, Technical Grade, Granular (2-Hydroxy-1,2,3-propanetricarboxylic Acid), HO{2}CCH{2}C(OH)(CO{2}H)CH{2}CO{2}H",LOOKUP_NEEDED,Technical Grade,Anhydrous | Technical Grade,consumer-industrial,Consumer & Industrial,,PROVISIONAL: Consumer & Industrial,United Chemical International LLC,1,2025-06-12,141220.52,1219077.72,10,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,11346,11346,11346
"ALUMINUM OXIDE, 99.5% pure, d₅₀ ≈ 90µm, recycled Special for Corning (Alumina), Al₂O₃",LOOKUP_NEEDED,99.5% | 99.8%,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,Corning Incorporated,1,2025-05-15,116972.1,798000.0,3,2,798000.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (2 deals), Invoice 2025",C3100,C3100,C3100
"ZIRCONIUM (IV) CHLORIDE, 99.95% pure, -40 mesh, (Zirconium Tetrachloride), ZrCl{4} for GUJARAT FLOUROCHEMICALS",LOOKUP_NEEDED,99.95%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Gujarat Fluorochemicals Limite,1,2024-11-27,116688.6,297830.0,2,1,148915.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2024",C3076,C3076,C3076
"BARIUM ACETATE, 39% SOLUTION, BASF Spec No. G-PS-1449, Rev. 7, (Part Number 500062-200, Article Number 53684906), Ba(OOCCH₃)₂",LOOKUP_NEEDED,39%,BASF Spec,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Mobile Emissions Catalyst | Heesung Catalysts Corporation,2,2025-12-01,99089.4,542301.89,69,37,739086.71,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (37 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2655,C2655|Temp. Prod.,c2655
"MOLYBDENUM (IV) SULFIDE, 99% pure, 4-10 microns by Fisher, AMS-M-7866, (Molybdenum Disulfide), MoS₂",LOOKUP_NEEDED,99%,AMS-Spec,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"ASRC Federal | Metal Improvement Co., LLC | SAIC",4,2025-09-30,98383.09,152217.9,16,7,74519.2,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (7 deals), Invoice 2023, Invoice 2024, Invoice 2025",14132,14132,14132
"SULFUR SUBLIMED, USP powder, ROI < 0.2% for Hope Pharmaceuticals, S",LOOKUP_NEEDED,0.2% | USP,USP,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Hope Pharmaceuticals,1,2025-05-06,98244.54,139234.19,14,1,64940.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2857,C2857,C2857
"AMMONIUM METAVANADATE, 99% pure, Reagent, -20 mesh, (Ammonium Vanadium Oxide), NH₄VO₃",LOOKUP_NEEDED,99% | Reagent,Reagent,consumer-industrial,Consumer & Industrial,Advanced Manufacturing | Unclassified,PROVISIONAL: Consumer & Industrial; Advanced Manufacturing; Unclassified,"Cosmocel S.A. | Verdesian Life Sciences, LLC | Atotech USA, LLC",4,2025-11-20,91919.77,144941.11,19,14,144654.56,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (14 deals), Invoice 2023, Invoice 2024, Invoice 2025",13225,13225,13225
"MANGANESE (II) NITRATE, 50% SOLUTION, BASF Spec. No. GPS-0062, Rev. 8, BASF Article No. 50814721, BASF Part No. 500034-102, Mn(NO₃)₂",LOOKUP_NEEDED,50%,BASF Spec,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Catalysts (Shanghai) Co. Ltd. | BASF Mobile Emissions Catalyst,2,2025-07-21,91362.71,150927.73,11,5,102702.47,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2791,C2791,C2791
"IRON (III) ORTHOPHOSPHATE, HYDRATE, FCC, -325 mesh, (Ferric Orthophosphate, Hydrate), FePO₄.xH₂O",LOOKUP_NEEDED,FCC,FCC,life-sciences-pharma,Life Sciences & Pharma,Consumer & Industrial,PROVISIONAL: Life Sciences & Pharma; Consumer & Industrial,"Homestat Farm, Ltd. | Thermo Fisher Scientific | The Foster Corp.",5,2025-12-02,90258.63,143322.53,24,14,80695.53,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (14 deals), Invoice 2023, Invoice 2024, Invoice 2025",14444,14444,14444
"LITHIUM CARBONATE, (Special for Nutrisol), -40 mesh, Li₂CO₃",LOOKUP_NEEDED,Unknown,ACS Reagent,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Nutrisol LLC,1,2025-12-03,86134.83,264940.01,14,8,224965.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (8 deals), Invoice 2024, Invoice 2025",C2972,C2972,C2972
"LANTHANUM CHLORIDE, HEPTAHYDRATE, 99.9% pure, -10mesh,  LaCl₃.7H₂O",10025-84-0,99.9%,None observed,energy,Energy & Nuclear,,PROVISIONAL: Energy & Nuclear,King Technology Inc.,1,2025-12-03,79365.03,276297.83,13,9,402549.59,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (9 deals), Invoice 2024, Invoice 2025",15487,15487,15487
"LEAD ACETATE / CHROMIUM ACETATE, SOLUTION, Pb: 0.05%, Cr: 0.0625%, special for Franklin Engineering",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Franklin Engineering Group Inc.,1,2024-10-15,78792.69,80196.76,3,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,C3072,C3072,C3072
TARIFF SURCHARGE,LOOKUP_NEEDED,Unknown,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Mobile Emissions Catalyst,1,2025-12-01,77992.25,77992.25,17,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,21122,21122,21122
"STRONTIUM ACETATE, 30% SOLUTION, BASF Spec. No. GPS-1591, Rev. 7, (Part Number 500073-007, Article Number 50149949), Sr(OOCCH₃)₂ + HNO₃",LOOKUP_NEEDED,30%,BASF Spec,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Mobile Emissions Catalyst,1,2025-11-24,73217.48,167188.98,32,15,71653.05,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (15 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2702,C2702,C2702
"LEAD (II) ACETATE, TRIHYDRATE, 30% SOLUTION, 99% pure, 16.4% Pb,  Pb(OOCCH₃)₂.3H₂O",LOOKUP_NEEDED,16.4% | 30% | 99%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"B3 Systems, Inc.",1,2025-08-18,66261.88,91715.1,2,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,90484,90484,90484
"THALLIUM-MERCURY AMALGAM, 8.5% Tl, (Thallium Amalgam), Hg:Tl",LOOKUP_NEEDED,8.5%,None observed,life-sciences-pharma,Life Sciences & Pharma,Energy & Nuclear,PROVISIONAL: Life Sciences & Pharma; Energy & Nuclear,Lawrence Livermore National Laboratory | Consolidated Nuclear Security | MaTestLabs,3,2025-10-01,65915.13,98664.66,22,1,24140.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (1 deals), Invoice 2023, Invoice 2024, Invoice 2025",14503,14503,14503
"CHROMIUM (III) CHLORIDE, HEXAHYDRATE, 2 Molar solution, 7.76% Cr, CrCl₃.6H₂O",LOOKUP_NEEDED,7.76%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"B3 Systems, Inc.",1,2025-04-28,63703.65,108546.76,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C2988,C2988,C2988
"SODIUM SELENITE, ANHYDROUS, 99.5% pure, -20 mesh, Na₂SeO₃",LOOKUP_NEEDED,99.5%,Anhydrous,life-sciences-pharma,Life Sciences & Pharma,Unclassified,PROVISIONAL: Life Sciences & Pharma; Unclassified,"Nutrisol LLC | Biotron Laboratories, Inc. | Core Agri, Inc.",7,2025-09-17,62577.66,142093.26,26,16,109429.25,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (16 deals), Invoice 2023, Invoice 2024, Invoice 2025",14612,14612,14612
"BARIUM SULFATE, Technical grade, BASF Spec. GPS-0585, Rev. 8, (Part Number 500062-107, Article Number 56302894), BaSO₄",LOOKUP_NEEDED,Technical Grade,BASF Spec | Technical Grade,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Mobile Emissions Catalyst | BASF Catalisadores Ltda. | Heesung Catalysts Corporation,5,2025-12-01,61941.35,449281.0,81,25,141557.72,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (25 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2208,C2208,C2208
"BARIUM SULFATE, USP, -325 mesh, Sunlite Plastics Drawing No. 03-0003, Rev. J, BaSO₄",7727-43-7,USP,USP,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,Sunlite Plastics,1,2025-07-23,59514.86,83051.4,11,4,24004.4,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024, Invoice 2025",C3033,C3033,C3033
"ZINC SULFIDE, Schott Part Number 6366819, Drawing No. A426479 Rev. B, (99.99% pure, -325 mesh, < 5 microns average, cubic, ZnS",LOOKUP_NEEDED,99.99%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"SCHOTT North America, Inc.",1,2023-09-08,57412.85,120577.5,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2023,C2914,C2914,C2914
"VANADIUM OXYSULFATE, HYDRATE, USP, crystal, special for Balchem, (Vanadyl Sulfate, Hydrate), VOSO₄.xH₂O",27774-13-6,USP,USP,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Balchem,1,2025-05-09,57339.36,68439.0,5,5,83061.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2023, Invoice 2025",C2981,C2981,C2981
"SODIUM HYDROXIDE, 50% SOLUTION, Reagent, (Caustic Soda), NaOH",LOOKUP_NEEDED,50% | Reagent,Reagent,life-sciences-pharma,Life Sciences & Pharma,Unclassified,PROVISIONAL: Life Sciences & Pharma; Unclassified,HACH Company | Alchemy Geopolymer Solutions | Southwest Research Institute,3,2025-11-21,56576.44,80584.98,35,18,46155.78,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (18 deals), Invoice 2023, Invoice 2024, Invoice 2025",90534,90534,90534
"LITHIUM HYDROXIDE, MONOHYDRATE, Ortho Clinical Diagnostic Specification #SPC33073, Rev. 4, OCD No. R229,  LiOH.H₂O",LOOKUP_NEEDED,Unknown,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Ortho Clinical Diagnostics,1,2025-04-08,56553.0,110422.8,5,4,110287.2,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2039,C2039,C2039
"SODIUM THIOSULFATE, ANHYDROUS, Reagent, granular, Na₂S₂O₃",LOOKUP_NEEDED,Reagent,Anhydrous | Reagent,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,"Glanbia Nutritionals (NA), Inc | WET International, Inc | HACH Company",3,2025-11-11,55518.51,70277.25,23,4,19355.43,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024, Invoice 2025",90839,90839|Temp. Prod.,90839
"MAGNESIUM METAL, POWDER, 99.8% pure, -325 mesh, Mg",LOOKUP_NEEDED,99.8%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,"SISEL International | SupraNaturals LLC | Ohmite Holding, LLC",5,2025-10-08,55345.24,110653.59,11,9,84784.1,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (9 deals), Invoice 2023, Invoice 2024, Invoice 2025",12320,12320,12320
"POTASSIUM BROMIDE, ACS Reagent, granular,  KBr",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Eagle Picher Technologies | Ambyth Chemical,2,2025-10-16,54524.47,130883.12,24,4,140518.6,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (4 deals), Invoice 2023, Invoice 2024, Invoice 2025",14130,14130,14130
"ALUMINUM HYDROXIDE, Reagent, -325 mesh, (Aluminum Oxide, Trihydrate), Al(OH)₃ or Al₂O₃.3H₂O",LOOKUP_NEEDED,Reagent,Reagent,aerospace-defense,Aerospace & Defense,Unclassified,PROVISIONAL: Aerospace & Defense; Unclassified,Infiniumco | Atkins Enery Federal EPC Inc. | 0015013,14,2025-11-11,52491.39,144977.72,27,12,100698.93,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (12 deals), Invoice 2023, Invoice 2024, Invoice 2025",16728,16728,16728
"BARIUM HYDROXIDE, OCTAHYDRATE, ACS Reagent, crystal,  Ba(OH)₂.8H₂O",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,"Carestream Health, Inc. | SCP Science",2,2025-11-03,51926.33,67579.0,13,3,31413.5,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (3 deals), Invoice 2023, Invoice 2024, Invoice 2025",90230,90230,90230
Hutners Trace Elements Solution,LOOKUP_NEEDED,Unknown,None observed,life-sciences-pharma,Life Sciences & Pharma,Advanced Manufacturing,PROVISIONAL: Life Sciences & Pharma; Advanced Manufacturing,Verily Life Sciences | Google,2,2025-09-03,50433.99,55325.48,32,17,45671.3,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (17 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2992,C2992,C2992
"VANADIUM OXYSULFATE, HYDRATE, 99.9% pure, crystal for ThermoFisher Scientifc, Part No. 011090",LOOKUP_NEEDED,99.9%,None observed,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,Thermo Fisher Scientific | Thermo Fisher (Kandel) GmbH,2,2025-12-05,49833.86,50954.0,6,6,63518.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (6 deals), Invoice 2025",C3096,C3096,C3096
"SODIUM SULFIDE, NONAHYDRATE, ACS Reagent, crystal, Na₂S.9H₂O",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,advanced-manufacturing,Advanced Manufacturing,Life Sciences & Pharma,PROVISIONAL: Advanced Manufacturing; Life Sciences & Pharma,"Strem Chemicals, Inc. | Aldrich Chemical Co. LLC | Productos Quimicos Monterrey,",5,2025-11-06,48493.91,124514.4,13,13,110750.7,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (13 deals), Invoice 2023, Invoice 2024, Invoice 2025",12589,12589,12589
"AMMONIUM BICARBONATE, 99.2% pure min., powder, treated with anticaking agent",LOOKUP_NEEDED,99.2%,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,American Chemet Corporation,1,2024-10-23,48311.38,205578.95,6,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2024,15888,15888,15888
"MANGANESE (II) OXIDE, 99.5% pure, -40 mesh, (Manganese Monoxide; Manganous Oxide), MnO",1344-43-0,99.5%,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,"Nexceris, LLC | BeanTown Chemical Corp",2,2025-11-06,48087.41,161208.78,19,7,149548.79,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (7 deals), Invoice 2023, Invoice 2024, Invoice 2025",13484,13484,13484
"VANADIUM OXYSULFATE, HYDRATE, 99.5% pure, crystal, (Vanadyl Sulfate, Hydrate), VOSO₄.xH₂O",LOOKUP_NEEDED,99.5%,None observed,life-sciences-pharma,Life Sciences & Pharma,Unclassified,PROVISIONAL: Life Sciences & Pharma; Unclassified,"Thermo Fisher Scientific | Nutrisol LLC | MFG Chemical, LLC",7,2025-10-16,47514.07,57957.96,18,6,29267.56,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (6 deals), Invoice 2023, Invoice 2024, Invoice 2025",15922,15922,15922
"SURROGATE WASTE FEED, Cluster 13 DFHLW Feed for VSL 2025",LOOKUP_NEEDED,Unknown,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Catholic University of America,1,2025-08-26,44695.71,58413.44,2,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C3113,C3113,C3113
"MOLYBDENUM METAL, POWDER, 99.8% pure, 2.5-4.5 microns, Mo",LOOKUP_NEEDED,99.8%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,Austin Star Detonator Company,1,2025-11-25,44646.23,237666.97,6,3,238281.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (3 deals), Invoice 2025",11648,11648,11648
"POTASSIUM PHOSPHATE DIBASIC, ACS Reagent, powder,(Dipotassium Hydrogen Phosphate) K₂HPO₄",LOOKUP_NEEDED,ACS Reagent | Reagent,ACS Reagent | Reagent,life-sciences-pharma,Life Sciences & Pharma,Advanced Manufacturing,PROVISIONAL: Life Sciences & Pharma; Advanced Manufacturing,World Bioproducts LLC | Verily Life Sciences | Google,5,2025-12-08,42856.79,99940.6,53,9,52790.8,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (9 deals), Invoice 2023, Invoice 2024, Invoice 2025",13703,13703,13703
"IRON (II) CHLORIDE, TETRAHYDRATE, Ciba No. 91-997-640, RAC No. 825, BASF Article No. 55260492, (Ferrous Chloride, Tetrahydrate), FeCl₂.4H₂O",LOOKUP_NEEDED,Unknown,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Corporation,1,2025-09-03,42827.13,222965.77,7,5,263118.41,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2023, Invoice 2024, Invoice 2025",C2431,C2431,C2431
"GERMANIUM (IV) OXIDE, 99.999% pure, -200 mesh, (Germanium Dioxide), GeO₂",LOOKUP_NEEDED,99.999%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"Biolase, Inc | Cascade Columbia Distribution",2,2025-12-08,40258.3,102168.22,8,7,194244.13,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (7 deals), Invoice 2024, Invoice 2025",14488,14488|Temp. Prod.,14488
"MONOCHLOROBENZENE/NAPHTHALENE, 8.6% Naphthalene, C6H5C1 C10H8",LOOKUP_NEEDED,8.6%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,"B3 Systems, Inc.",1,2025-04-28,40217.48,44699.02,1,0,0.0,PENDING_REVIEW,PENDING_REVIEW,Invoice 2025,C2986,C2986,C2986
"SODIUM SELENATE, ANHYDROUS, (according to Watson Specification No. R140247, Version No. 20034), Na₂SeO₄",LOOKUP_NEEDED,Unknown,Anhydrous,life-sciences-pharma,Life Sciences & Pharma,,PROVISIONAL: Life Sciences & Pharma,"Glanbia Nutritionals (NA), Inc",1,2025-12-02,39141.83,115744.5,3,5,244645.25,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (5 deals), Invoice 2025",C2971,C2971,C2971
"STRONTIUM CHLORIDE, HEXAHYDRATE, 99.5% pure, -10 mesh, SrCl₂.6H₂O",LOOKUP_NEEDED,99.5%,None observed,advanced-manufacturing,Advanced Manufacturing,,PROVISIONAL: Advanced Manufacturing,BASF Corporation | California Academy of Sciences | Thermo Fisher Scientific,6,2025-06-25,39024.82,66368.04,12,3,61608.0,PENDING_REVIEW,PENDING_REVIEW,"HubSpot (3 deals), Invoice 2023, Invoice 2024, Invoice 2025",15436,15436,15436
"BARIUM (II) NITRATE, 99% pure, -60/+100 mesh, Ba(NO₃)₂",LOOKUP_NEEDED,99%,None observed,aerospace-defense,Aerospace & Defense,,PROVISIONAL: Aerospace & Defense,BiSN Oil Tools LLC,1,2024-10-04,38728.7,50209.07,16,0,0.0,PENDING_REVIEW,PENDING_REVIEW,"Invoice 2023, Invoice 2024",C2993,C2993,C2993
